Name,Free,Paid,Total,Paid(Rs.)
Anup ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Salona BajracharyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Sunita Rajbhandari/Sujan BajracharyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,14,5,19,25
Suraj Bir BajracharyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,7,0,7,0
Hisi Recording StudioNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Krishna DangolNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Mohan Devi MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Rakshya ShresthaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,11,0,11,0
Anjala NakarmiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,9,0,9,0
Suman KapaliNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,5,0,5,0
Dhiren ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,12,0,12,0
Rajesh Man SinghNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,14,0,14,0
Bhintuna JoshiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,12,0,12,0
Rajan ShahiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,6,0,6,0
Jack MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,8,0,8,0
 Prabesh Man ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,10,0,10,0
Ashok MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,9,0,9,0
Laxmi Kumar MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Anjali ShahiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Sanjay MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Suman Kapali NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Shailesh DangolNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Mohan Krishna Shrestha NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
